name,apps,accept,enroll,top25perc,phd,s_f_ratio,expend,grad_rate,
University 1,1660,1232,721,52,70,18.1,7041,60,1
University 2,2186,1924,512,29,29,12.2,10527,56,2
University 3,1428,1097,336,50,53,12.9,8735,54,3
University 4,417,349,137,89,92,7.7,19016,59,4
University 5,193,146,55,44,76,11.9,10922,15,5
University 6,587,479,158,62,67,9.4,9727,55,6
University 7,353,340,103,45,90,11.5,8861,63,7
University 8,1899,1720,489,68,89,13.7,11487,73,8
University 9,1038,839,227,63,79,11.3,11644,80,9
University 10,582,498,172,44,40,11.5,8991,52,10
University 11,1732,1425,472,75,82,11.3,10932,73,11
University 12,2652,1900,484,77,73,9.9,11711,76,12
University 13,1179,780,290,64,60,13.3,7940,74,13
University 14,1267,1080,385,73,79,15.3,9305,68,14
University 15,494,313,157,46,36,11.1,8127,55,15
University 16,1420,1093,220,22,78,14.7,7355,69,16
University 17,4302,992,418,96,93,8.4,21424,100,17
University 18,1216,908,423,40,48,12.1,7994,59,18
University 19,1130,704,322,23,62,11.5,10908,46,19
University 20,3540,2001,1016,54,60,23.1,4010,34,20
University 21,713,661,252,44,69,11.3,42926,48,21
University 22,7313,4664,1910,63,83,18.3,5854,70,22
University 23,619,516,219,51,55,12.7,6584,65,23
University 24,12809,10308,3761,49,88,18.9,4602,48,24
University 25,708,334,166,74,79,12.6,14579,54,25
University 26,1734,1729,951,52,57,19.6,4739,48,26
University 27,2135,1700,491,59,93,13.8,7100,88,27
University 28,7548,6791,3070,57,85,16.7,6642,69,28
University 29,662,513,257,30,65,12.8,7836,58,29
University 30,1879,1658,497,69,78,12.7,9220,71,30
University 31,761,725,306,58,66,10.4,6871,69,31
University 32,948,798,295,74,81,13,11361,71,32
University 33,627,556,172,40,59,22.4,6523,48,33
University 34,602,483,206,47,58,11,6136,65,34
University 35,1690,1366,662,61,68,17.6,8086,85,35
University 36,261,192,111,36,57,9.7,9337,71,36
University 37,1910,838,285,85,98,10.4,13894,79,37
University 38,2496,1402,531,95,83,10.3,12580,91,38
University 39,990,784,279,45,76,12.6,9084,72,39
University 40,6075,5349,2367,66,71,18.5,7503,72,40
University 41,1163,850,348,56,78,12.2,8954,73,41
University 42,807,707,308,63,74,13.1,6668,84,42
University 43,632,494,129,36,78,13.2,7550,52,43
University 44,1220,974,481,67,61,11.1,7614,49,44
